ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
D000072260,D017412,1,1
D000072260,D017413,1,1
D000072260,D017415,1,1
D000072260,D038941,1,1
D000072261,D000072261,0,0
D000072278,D000072278,0,0
D000072316,D000072316,0,0
D000072316,D000072317,2,2
D000072316,D000072338,1,1
D000072316,D000075182,3,3
D000072316,D001140,2,2
D000072316,D004147,1,1
D000072316,D011078,1,1
D000072316,D020111,3,3
D000072317,D000072317,0,0
D000072317,D000075182,1,1
D000072318,D000072318,0,0
D000072318,D000072338,1,1
D000072336,D000072336,0,0
D000072338,D000072338,0,0
D000072340,D000072340,0,0
D000072376,D000072376,0,0
D000072376,D006888,1,1
D000072376,D007653,1,1
D000072377,D000072377,0,0
D000072379,D000072379,0,0
D000072379,D000072380,1,1
D000072380,D000072380,0,0
D000072396,D000072396,0,0
D000072441,D000072441,0,0
D000072461,D000072461,0,0
D000072461,D019363,1,1
D000072461,D019388,1,1
D000072461,D065633,1,1
D000072467,D000072467,0,0
D000072467,D019362,1,1
D000072467,D019389,1,1
D000072467,D019392,1,1
D000072467,D065637,1,1
D000072467,D065702,1,1
D000072467,D065727,1,1
D000072467,D065729,2,2
D000072467,D065730,1,1
D000072467,D065731,2,2
D000072469,D000072469,0,0
D000072469,D051544,1,1
D000072470,D000072470,0,0
D000072470,D042926,1,1
D000072471,D000001,3,3
D000072471,D000068180,4,4
D000072471,D000068257,5,5
D000072471,D000068437,6,6
D000072471,D000068438,3,3
D000072471,D000068577,3,3
D000072471,D000068580,3,3
D000072471,D000068581,3,6
D000072471,D000068599,4,4
D000072471,D000068677,3,3
D000072471,D000068678,5,5
D000072471,D000068698,4,4
D000072471,D000069056,3,3
D000072471,D000069347,3,3
D000072471,D000069348,3,3
D000072471,D000069461,3,3
D000072471,D000069464,4,4
D000072471,D000069476,3,3
D000072471,D000069479,4,4
D000072471,D000069480,5,5
D000072471,D000069503,3,3
D000072471,D000069545,5,5
D000072471,D000069604,3,3
D000072471,D000069605,3,3
D000072471,D000069616,2,2
D000072471,D000072317,2,2
D000072471,D000072318,2,2
D000072471,D000072338,3,3
D000072471,D000072471,0,0
D000072471,D000074,5,5
D000072471,D000075,3,3
D000072471,D000075182,3,3
D000072471,D000077144,4,4
D000072471,D000077152,4,4
D000072471,D000077156,3,3
D000072471,D000077185,7,7
D000072471,D000077194,4,4
D000072471,D000077210,3,3
D000072471,D000077235,6,7
D000072471,D000077261,3,4
D000072471,D000077266,5,5
D000072471,D000077269,4,4
D000072471,D000077271,4,4
D000072471,D000077288,4,4
D000072471,D000077290,4,5
D000072471,D000077333,3,3
D000072471,D000077340,3,3
D000072471,D000077341,3,3
D000072471,D000077362,4,4
D000072471,D000077385,7,7
D000072471,D000077402,4,4
D000072471,D000077407,3,3
D000072471,D000077422,5,5
D000072471,D000077465,3,3
D000072471,D000077483,7,7
D000072471,D000077484,3,3
D000072471,D000077486,5,5
D000072471,D000077487,3,3
