concept_code,standard_concept,class_type
N0000190484,C,MOA
N0000190855,C,MOA
N0000190857,C,MOA
N0000190989,C,MOA
N0000190990,C,MOA
N0000190993,C,MOA
N0000190994,C,MOA
N0000190995,C,MOA
N0000190997,C,MOA
N0000190998,C,MOA
N0000191002,C,MOA
N0000191004,C,MOA
N0000191258,C,MOA
N0000191259,C,MOA
N0000191262,C,MOA
N0000191264,C,MOA
N0000191265,C,MOA
N0000191266,C,MOA
N0000191267,C,MOA
N0000191269,C,MOA
N0000191270,C,MOA
N0000191271,C,MOA
N0000191272,C,MOA
N0000191273,C,MOA
N0000191274,C,MOA
N0000191275,C,MOA
N0000191276,C,MOA
N0000191277,C,MOA
N0000191278,C,MOA
N0000191422,C,MOA
N0000191423,C,MOA
N0000191494,C,MOA
N0000191498,C,MOA
N0000191499,C,MOA
N0000191501,C,MOA
N0000191502,C,MOA
N0000191545,C,MOA
N0000191546,C,MOA
N0000191622,C,MOA
N0000191624,C,MOA
N0000191725,C,MOA
N0000191726,C,MOA
N0000191727,C,MOA
N0000191729,C,MOA
N0000191730,C,MOA
N0000191866,C,MOA
N0000191868,C,MOA
N0000191869,C,MOA
N0000191871,C,MOA
N0000192335,C,MOA
N0000192337,C,MOA
N0000192345,C,MOA
N0000192560,C,MOA
N0000192700,C,MOA
N0000192702,C,MOA
N0000192796,C,MOA
N0000192798,C,MOA
N0000193178,C,MOA
N0000193277,C,MOA
N0000193278,C,MOA
N0000193279,C,MOA
N0000193302,C,MOA
N0000193336,C,MOA
N0000193337,C,MOA
N0000193340,C,MOA
N0000193341,C,MOA
N0000193542,C,MOA
N0000193544,C,MOA
N0000193614,C,MOA
N0000193616,C,MOA
N0000193786,C,MOA
N0000193787,C,MOA
N0000193789,C,MOA
N0000193791,C,MOA
N0000193793,C,MOA
N0000193795,C,MOA
N0000193801,C,MOA
N0000193802,C,MOA
N0000193805,C,MOA
N0000193807,C,MOA
N0000193845,C,MOA
N0000193846,C,MOA
N0000193851,C,MOA
N0000193853,C,MOA
N0000193855,C,MOA
N0000193859,C,MOA
N0000193865,C,MOA
N0000193867,C,MOA
N0000193870,C,MOA
N0000193914,C,MOA
N0000193916,C,MOA
N0000193918,C,MOA
N0000193921,C,MOA
N0000193922,C,MOA
N0000193923,C,MOA
N0000193925,C,MOA
N0000193927,C,MOA
N0000193928,C,MOA
N0000193929,C,MOA
N0000193931,C,MOA
N0000193932,C,MOA
N0000193933,C,MOA
N0000193934,C,MOA
N0000193936,C,MOA
N0000193937,C,MOA
N0000193939,C,MOA
N0000193941,C,MOA
N0000193942,C,MOA
N0000193943,C,MOA
N0000193944,C,MOA
N0000193945,C,MOA
N0000193947,C,MOA
N0000193950,C,MOA
N0000193953,C,MOA
N0000193954,C,MOA
N0000193955,C,MOA
N0000193958,C,MOA
N0000193959,C,MOA
N0000193964,C,MOA
N0000193968,C,MOA
