ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
VA000,CN550,2,2
VA000,CN600,2,2
VA000,CN601,3,3
VA000,CN602,3,3
VA000,CN609,3,3
VA000,CN700,2,2
VA000,CN701,3,3
VA000,CN709,3,3
VA000,CN750,2,2
VA000,CN800,2,2
VA000,CN801,3,3
VA000,CN802,3,3
VA000,CN809,3,3
VA000,CN850,2,2
VA000,CN900,2,2
VA000,CV000,1,1
VA000,CV050,2,2
VA000,CV100,2,2
VA000,CV150,2,2
VA000,CV200,2,2
VA000,CV250,2,2
VA000,CV300,2,2
VA000,CV350,2,2
VA000,CV400,2,2
VA000,CV490,2,2
VA000,CV500,2,2
VA000,CV600,2,2
VA000,CV700,2,2
VA000,CV701,3,3
VA000,CV702,3,3
VA000,CV703,3,3
VA000,CV704,3,3
VA000,CV709,3,3
VA000,CV800,2,2
VA000,CV805,2,2
VA000,CV806,2,2
VA000,CV900,2,2
VA000,DE000,1,1
VA000,DE100,2,2
VA000,DE101,3,3
VA000,DE102,3,3
VA000,DE103,3,3
VA000,DE109,3,3
VA000,DE200,2,2
VA000,DE250,2,2
VA000,DE300,2,2
VA000,DE350,2,2
VA000,DE400,2,2
VA000,DE450,2,2
VA000,DE500,2,2
VA000,DE600,2,2
VA000,DE650,2,2
VA000,DE700,2,2
VA000,DE750,2,2
VA000,DE751,3,3
VA000,DE752,3,3
VA000,DE800,2,2
VA000,DE810,3,3
VA000,DE820,3,3
VA000,DE890,2,2
VA000,DE900,2,2
VA000,DX000,1,1
VA000,DX100,2,2
VA000,DX101,3,3
VA000,DX102,3,3
VA000,DX109,3,3
VA000,DX200,2,2
VA000,DX201,3,3
VA000,DX202,3,3
VA000,DX300,2,2
VA000,DX900,2,2
VA000,GA000,1,1
VA000,GA100,2,2
VA000,GA101,3,3
VA000,GA102,3,3
VA000,GA103,3,3
VA000,GA104,3,3
VA000,GA105,3,3
VA000,GA106,3,3
VA000,GA107,3,3
VA000,GA108,3,3
VA000,GA109,3,3
VA000,GA110,3,3
VA000,GA199,3,3
VA000,GA200,2,2
VA000,GA201,3,3
VA000,GA202,3,3
VA000,GA203,3,3
VA000,GA204,3,3
VA000,GA205,3,3
VA000,GA206,3,3
VA000,GA208,2,2
VA000,GA209,3,3
VA000,GA300,2,2
VA000,GA301,3,3
VA000,GA302,3,3
VA000,GA303,3,3
VA000,GA309,3,3
VA000,GA400,2,2
VA000,GA500,2,2
VA000,GA600,2,2
VA000,GA605,2,2
VA000,GA750,2,2
VA000,GA751,3,3
VA000,GA752,3,3
VA000,GA759,3,3
VA000,GA800,2,2
VA000,GA801,3,3
VA000,GA802,3,3
VA000,GA900,2,2
VA000,GU000,1,1
VA000,GU100,2,2
VA000,GU200,2,2
VA000,GU201,3,3
VA000,GU209,3,3
VA000,GU300,2,2
VA000,GU400,2,2
VA000,GU500,2,2
VA000,GU600,2,2
VA000,GU900,2,2
VA000,HA000,1,1
VA000,HS000,1,1
