concept_code_1,class_type_1,relationship_id,relationship_source,relationship_type,concept_code_2,class_type_2
1597371,TC,Maps to,FMTSME,NA,1597371,TC
1597381,TC,Maps to,FMTSME,NA,1597381,TC
1597608,TC,Maps to,FMTSME,NA,1597608,TC
1597609,TC,Maps to,FMTSME,NA,1597609,TC
1606218,TC,Maps to,FMTSME,NA,1606218,TC
1658314,TC,Maps to,FMTSME,NA,1658314,TC
1667655,TC,Maps to,FMTSME,NA,1667655,TC
1673265,TC,Maps to,FMTSME,NA,1673265,TC
1734628,TC,Maps to,FMTSME,NA,1734628,TC
1791685,TC,Maps to,FMTSME,NA,1791685,TC
1799206,TC,Maps to,FMTSME,NA,1799206,TC
18343,TC,Maps to,FMTSME,NA,18343,TC
18631,TC,Maps to,FMTSME,NA,18631,TC
1870193,TC,Maps to,FMTSME,NA,1870193,TC
18993,TC,Maps to,FMTSME,NA,18993,TC
190376,TC,Maps to,FMTSME,NA,190376,TC
1927663,TC,Maps to,FMTSME,NA,1927663,TC
1940636,TC,Maps to,FMTSME,NA,1940636,TC
19552,TC,Maps to,FMTSME,NA,19552,TC
197,TC,Maps to,FMTSME,NA,197,TC
1987,TC,Maps to,FMTSME,NA,1987,TC
19884,TC,Maps to,FMTSME,NA,19884,TC
2002,TC,Maps to,FMTSME,NA,2002,TC
2015,TC,Maps to,FMTSME,NA,2015,TC
203114,TC,Maps to,FMTSME,NA,203114,TC
203115,TC,Maps to,FMTSME,NA,203115,TC
203117,TC,Maps to,FMTSME,NA,203117,TC
203118,TC,Maps to,FMTSME,NA,203118,TC
203130,TC,Maps to,FMTSME,NA,203130,TC
203133,TC,Maps to,FMTSME,NA,203133,TC
203134,TC,Maps to,FMTSME,NA,203134,TC
203135,TC,Maps to,FMTSME,NA,203135,TC
203141,TC,Maps to,FMTSME,NA,203141,TC
203168,TC,Maps to,FMTSME,NA,203168,TC
203171,TC,Maps to,FMTSME,NA,203171,TC
203172,TC,Maps to,FMTSME,NA,203172,TC
203174,TC,Maps to,FMTSME,NA,203174,TC
203178,TC,Maps to,FMTSME,NA,203178,TC
203179,TC,Maps to,FMTSME,NA,203179,TC
203183,TC,Maps to,FMTSME,NA,203183,TC
203193,TC,Maps to,FMTSME,NA,203193,TC
203195,TC,Maps to,FMTSME,NA,203195,TC
203199,TC,Maps to,FMTSME,NA,203199,TC
204144,TC,Maps to,FMTSME,NA,204144,TC
204175,TC,Maps to,FMTSME,NA,204175,TC
20481,TC,Maps to,FMTSME,NA,20481,TC
20492,TC,Maps to,FMTSME,NA,20492,TC
20493,TC,Maps to,FMTSME,NA,20493,TC
20767,TC,Maps to,FMTSME,NA,20767,TC
20863,TC,Maps to,FMTSME,NA,20863,TC
21212,TC,Maps to,FMTSME,NA,21212,TC
215948,TC,Maps to,FMTSME,NA,215948,TC
217483,TC,Maps to,FMTSME,NA,217483,TC
2176,TC,Maps to,FMTSME,NA,2176,TC
2177,TC,Maps to,FMTSME,NA,2177,TC
2180,TC,Maps to,FMTSME,NA,2180,TC
2184,TC,Maps to,FMTSME,NA,2184,TC
2186,TC,Maps to,FMTSME,NA,2186,TC
