ancestor_concept_code,descendant_concept_code,level_of_separation
GA301,GA301,0
VA000,GA302,3
GA000,GA302,2
GA300,GA302,1
GA302,GA302,0
VA000,GA303,3
GA000,GA303,2
GA300,GA303,1
GA303,GA303,0
VA000,GA309,3
GA000,GA309,2
GA300,GA309,1
GA309,GA309,0
VA000,GA400,2
GA000,GA400,1
GA400,GA400,0
VA000,GA500,2
GA000,GA500,1
GA500,GA500,0
VA000,GA600,2
GA000,GA600,1
GA600,GA600,0
VA000,GA605,2
GA000,GA605,1
GA605,GA605,0
VA000,GA750,2
VA000,GA751,3
GA000,GA750,1
GA000,GA751,2
GA750,GA750,0
GA750,GA751,1
GA751,GA751,0
VA000,GA752,3
GA000,GA752,2
GA750,GA752,1
GA752,GA752,0
VA000,GA759,3
GA000,GA759,2
GA750,GA759,1
GA759,GA759,0
VA000,GA800,2
VA000,GA801,3
GA000,GA800,1
GA000,GA801,2
GA800,GA800,0
GA800,GA801,1
GA801,GA801,0
VA000,GA802,3
GA000,GA802,2
GA800,GA802,1
GA802,GA802,0
VA000,GA900,2
GA000,GA900,1
GA900,GA900,0
VA000,GU000,1
VA000,GU100,2
GU000,GU000,0
GU000,GU100,1
GU100,GU100,0
VA000,GU200,2
VA000,GU201,3
GU000,GU200,1
GU000,GU201,2
GU200,GU200,0
GU200,GU201,1
GU201,GU201,0
VA000,GU209,3
GU000,GU209,2
GU200,GU209,1
GU209,GU209,0
VA000,GU300,2
GU000,GU300,1
GU300,GU300,0
VA000,GU400,2
GU000,GU400,1
GU400,GU400,0
VA000,GU500,2
GU000,GU500,1
GU500,GU500,0
VA000,GU600,2
GU000,GU600,1
GU600,GU600,0
VA000,GU900,2
GU000,GU900,1
GU900,GU900,0
VA000,HA000,1
HA000,HA000,0
VA000,HS000,1
VA000,HS050,2
VA000,HS051,3
HS000,HS000,0
HS000,HS050,1
HS000,HS051,2
HS050,HS050,0
HS050,HS051,1
HS051,HS051,0
VA000,HS052,3
HS000,HS052,2
HS050,HS052,1
HS052,HS052,0
VA000,HS100,2
HS000,HS100,1
HS100,HS100,0
VA000,HS200,2
HS000,HS200,1
HS200,HS200,0
VA000,HS300,2
HS000,HS300,1
HS300,HS300,0
VA000,HS400,2
HS000,HS400,1
HS400,HS400,0
VA000,HS500,2
VA000,HS501,3
HS000,HS500,1
HS000,HS501,2
HS500,HS500,0
HS500,HS501,1
HS501,HS501,0
VA000,HS502,3
HS000,HS502,2
HS500,HS502,1
HS502,HS502,0
VA000,HS503,3
HS000,HS503,2
HS500,HS503,1
HS503,HS503,0
VA000,HS509,3
HS000,HS509,2
HS500,HS509,1
HS509,HS509,0
VA000,HS600,2
HS000,HS600,1
HS600,HS600,0
VA000,HS700,2
VA000,HS701,3
HS000,HS700,1
HS000,HS701,2
HS700,HS700,0
HS700,HS701,1
HS701,HS701,0
VA000,HS702,3
HS000,HS702,2
HS700,HS702,1
HS702,HS702,0
VA000,HS800,2
HS000,HS800,1
HS800,HS800,0
VA000,HS850,2
VA000,HS851,3
HS000,HS850,1
HS000,HS851,2
HS850,HS850,0
HS850,HS851,1
HS851,HS851,0
VA000,HS852,3
HS000,HS852,2
HS850,HS852,1
HS852,HS852,0
VA000,HS875,2
HS000,HS875,1
HS875,HS875,0
VA000,HS900,2
HS000,HS900,1
HS900,HS900,0
VA000,IM000,1
VA000,IM100,2
IM000,IM000,0
IM000,IM100,1
IM100,IM100,0
VA000,IM105,2
IM000,IM105,1
IM105,IM105,0
VA000,IM109,2
IM000,IM109,1
IM109,IM109,0
VA000,IM300,2
IM000,IM300,1
IM300,IM300,0
VA000,IM400,2
IM000,IM400,1
IM400,IM400,0
VA000,IM500,2
IM000,IM500,1
IM500,IM500,0
VA000,IM600,2
IM000,IM600,1
IM600,IM600,0
VA000,IM700,2
IM000,IM700,1
IM700,IM700,0
VA000,IM900,2
IM000,IM900,1
IM900,IM900,0
VA000,IN000,1
VA000,IN001,2
IN000,IN000,0
IN000,IN001,1
IN001,IN001,0
VA000,IN002,2
IN000,IN002,1
IN002,IN002,0
VA000,IN003,2
IN000,IN003,1
IN003,IN003,0
VA000,IN004,2
IN000,IN004,1
IN004,IN004,0
VA000,IN005,2
IN000,IN005,1
IN005,IN005,0
VA000,IN100,2
IN000,IN100,1
IN100,IN100,0
VA000,IN110,2
IN000,IN110,1
IN110,IN110,0
VA000,IN120,2
IN000,IN120,1
IN120,IN120,0
VA000,IN130,2
IN000,IN130,1
IN130,IN130,0
VA000,IN140,2
IN000,IN140,1
IN140,IN140,0
VA000,IN150,2
IN000,IN150,1
IN150,IN150,0
VA000,IN160,2
IN000,IN160,1
IN160,IN160,0
VA000,IN170,2
IN000,IN170,1
IN170,IN170,0
VA000,IN180,2
IN000,IN180,1
IN180,IN180,0
VA000,IN200,2
IN000,IN200,1
IN200,IN200,0
VA000,IN210,2
IN000,IN210,1
IN210,IN210,0
VA000,IN220,2
IN000,IN220,1
IN220,IN220,0
VA000,IN230,2
IN000,IN230,1
IN230,IN230,0
VA000,IN240,2
IN000,IN240,1
IN240,IN240,0
