ancestor_concept_code,descendant_concept_code,level_of_separation
D020228,D018689,3
D020228,D000700,4
D020228,D000077221,5
D045505,D018373,1
D045505,D018689,2
D045505,D000700,3
D045505,D000077221,4
D018373,D018373,0
D018373,D018689,1
D018373,D000700,2
D018373,D000077221,3
D018689,D018689,0
D018689,D000700,1
D018689,D000077221,2
D000700,D000700,0
D000700,D000077221,1
D000077221,D000077221,0
D020228,D009294,5
D020228,D000701,6
D045505,D009294,4
D045505,D000701,5
D018373,D009294,3
D018373,D000701,4
D018689,D009294,2
D018689,D000701,3
D000700,D009294,1
D000700,D000701,2
D020228,D018712,5
D020228,D000894,6
D020228,D016861,7
D020228,D052246,8
D045505,D018712,4
D045505,D000894,5
D045505,D016861,6
D045505,D052246,7
D018373,D018712,3
D018373,D000894,4
D018373,D016861,5
D018373,D052246,6
D018689,D018712,2
D018689,D000894,3
D018689,D016861,4
D018689,D052246,5
D000700,D018712,1
D000700,D000894,2
D000700,D016861,3
D000700,D052246,4
D018712,D018712,0
D018712,D000894,1
D018712,D016861,2
D018712,D052246,3
D000894,D000894,0
D000894,D016861,1
D000894,D052246,2
D016861,D016861,0
D016861,D052246,1
D052246,D052246,0
D020228,D057133,5
D045505,D057133,4
D018373,D057133,3
D018689,D057133,2
D000700,D057133,1
D057133,D057133,0
D020228,D059846,5
D045505,D059846,4
D018373,D059846,3
D018689,D059846,2
D000700,D059846,1
D059846,D059846,0
D018373,D000779,2
D018689,D000779,1
D020228,D009292,4
D045505,D009292,3
D018373,D009292,2
D018689,D009292,1
D009292,D009292,0
D020228,D001337,3
D020228,D000932,4
D045505,D001337,2
D045505,D000932,3
D018373,D001337,1
D018373,D000932,2
D001337,D001337,0
D001337,D000932,1
D000932,D000932,0
D020228,D001993,4
D045505,D001993,3
D018373,D001993,2
D001337,D001993,1
D001993,D001993,0
D020228,D004639,4
D045505,D004639,3
D018373,D004639,2
D001337,D004639,1
D004639,D004639,0
D020228,D005730,4
D045505,D005730,3
D018373,D005730,2
D001337,D005730,1
D005730,D005730,0
D020228,D005731,4
D045505,D005731,3
D018373,D005731,2
D001337,D005731,1
D005731,D005731,0
D020228,D008916,4
D045505,D008916,3
D018373,D008916,2
D001337,D008916,1
D008916,D008916,0
D020228,D009184,4
D045505,D009184,3
D018373,D009184,2
D001337,D009184,1
D009184,D009184,0
D020228,D010276,4
D045505,D010276,3
D018373,D010276,2
D001337,D010276,1
D010276,D010276,0
D020228,D010277,4
D045505,D010277,3
D018373,D010277,2
D001337,D010277,1
D010277,D010277,0
D020228,D013565,4
D045505,D013565,3
D018373,D013565,2
D001337,D013565,1
D013565,D013565,0
D020228,D013566,4
D045505,D013566,3
D018373,D013566,2
D001337,D013566,1
D013566,D013566,0
D020228,D016085,4
D045505,D016085,3
D018373,D016085,2
D001337,D016085,1
D016085,D016085,0
D020228,D009465,3
D020228,D009466,4
D020228,D003473,5
D045505,D009465,2
D045505,D009466,3
D045505,D003473,4
D018373,D009465,1
D018373,D009466,2
D018373,D003473,3
D009465,D009465,0
D009465,D009466,1
D009465,D003473,2
D009466,D009466,0
D009466,D003473,1
D003473,D003473,0
D020228,D009467,5
D045505,D009467,4
D018373,D009467,3
D009465,D009467,2
D009466,D009467,1
D009467,D009467,0
D020228,D009125,4
D045505,D009125,3
D018373,D009125,2
D009465,D009125,1
D009125,D009125,0
D020228,D000077264,2
D020228,D002120,3
D045505,D000077264,1
D045505,D002120,2
D000077264,D000077264,0
D000077264,D002120,1
D002120,D002120,0
D020228,D002121,3
D045505,D002121,2
D000077264,D002121,1
D002121,D002121,0
D020228,D000078604,2
D045505,D000078604,1
