ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
N0000008335,N0000008335,0,0
N0000008336,N0000008336,0,0
N0000008336,N0000008478,1,1
N0000008336,N0000008479,1,1
N0000008336,N0000009174,1,1
N0000008336,N0000009175,1,1
N0000008337,N0000008334,2,2
N0000008337,N0000008335,2,2
N0000008337,N0000008336,2,2
N0000008337,N0000008337,0,0
N0000008337,N0000008338,1,1
N0000008337,N0000008339,1,1
N0000008337,N0000008340,2,2
N0000008337,N0000008341,1,1
N0000008337,N0000008342,2,2
N0000008337,N0000008343,2,2
N0000008337,N0000008344,4,4
N0000008337,N0000008345,1,1
N0000008337,N0000008346,1,1
N0000008337,N0000008347,2,2
N0000008337,N0000008348,2,2
N0000008337,N0000008349,3,3
N0000008337,N0000008350,1,1
N0000008337,N0000008378,2,2
N0000008337,N0000008379,4,4
N0000008337,N0000008380,4,4
N0000008337,N0000008476,3,3
N0000008337,N0000008477,3,3
N0000008337,N0000008478,3,3
N0000008337,N0000008479,3,3
N0000008337,N0000008480,3,3
N0000008337,N0000008481,2,2
N0000008337,N0000008574,3,3
N0000008337,N0000008575,3,3
N0000008337,N0000008576,5,5
N0000008337,N0000008577,5,5
N0000008337,N0000008596,3,3
N0000008337,N0000008629,3,3
N0000008337,N0000008667,3,3
N0000008337,N0000008668,3,3
N0000008337,N0000008700,3,3
N0000008337,N0000008704,4,4
N0000008337,N0000008732,4,4
N0000008337,N0000008826,3,3
N0000008337,N0000008827,3,3
N0000008337,N0000008839,3,3
N0000008337,N0000008840,4,4
N0000008337,N0000008841,4,4
N0000008337,N0000008852,5,5
N0000008337,N0000008853,5,5
N0000008337,N0000008869,5,5
N0000008337,N0000009011,5,5
N0000008337,N0000009037,2,2
N0000008337,N0000009043,2,2
N0000008337,N0000009172,3,3
N0000008337,N0000009173,3,3
N0000008337,N0000009174,3,3
N0000008337,N0000009175,3,3
N0000008337,N0000009176,3,3
N0000008337,N0000009177,2,2
N0000008337,N0000009270,5,5
N0000008337,N0000009271,5,5
N0000008337,N0000009290,3,3
N0000008337,N0000009323,3,3
N0000008337,N0000009392,3,3
N0000008337,N0000009396,4,4
N0000008337,N0000009424,4,4
N0000008337,N0000009518,3,3
N0000008337,N0000009519,3,3
N0000008337,N0000009531,3,3
N0000008337,N0000009532,4,4
N0000008337,N0000009533,4,4
N0000008337,N0000009544,5,5
N0000008337,N0000009545,5,5
N0000008337,N0000009561,5,5
N0000008337,N0000009703,5,5
N0000008337,N0000009741,2,2
N0000008337,N0000009744,3,3
N0000008337,N0000009750,3,3
N0000008337,N0000009766,3,3
N0000008337,N0000009767,3,3
N0000008337,N0000009800,2,2
N0000008337,N0000009804,2,2
N0000008337,N0000009810,3,3
N0000008337,N0000009814,2,2
N0000008337,N0000009821,4,4
N0000008337,N0000009822,4,4
N0000008337,N0000009840,4,4
N0000008337,N0000009893,4,4
N0000008337,N0000009894,3,3
N0000008337,N0000009928,2,2
N0000008337,N0000009929,2,2
N0000008337,N0000010228,3,3
N0000008337,N0000010229,3,3
N0000008337,N0000010230,2,2
N0000008337,N0000010231,2,2
N0000008337,N0000010232,4,4
N0000008337,N0000010233,4,4
N0000008337,N0000010246,3,3
N0000008337,N0000010247,3,3
N0000008337,N0000010248,3,3
N0000008337,N0000010249,3,3
N0000008337,N0000019996,2,2
N0000008337,N0000019997,3,3
N0000008337,N0000019998,4,4
N0000008337,N0000019999,4,4
N0000008337,N0000020013,3,3
N0000008337,N0000175085,2,2
N0000008337,N0000175672,1,1
N0000008337,N0000175673,2,2
N0000008337,N0000175674,2,2
N0000008337,N0000175675,3,3
N0000008337,N0000175676,3,3
N0000008337,N0000175677,3,3
N0000008337,N0000175678,3,3
N0000008338,N0000008338,0,0
N0000008338,N0000008667,2,2
N0000008338,N0000008668,2,2
N0000008338,N0000010228,2,2
N0000008338,N0000010229,2,2
N0000008338,N0000010230,1,1
N0000008338,N0000010231,1,1
N0000008338,N0000010232,3,3
N0000008338,N0000010233,3,3
N0000008339,N0000008339,0,0
N0000008339,N0000008340,1,1
N0000008339,N0000008342,1,1
N0000008339,N0000008343,1,1
N0000008339,N0000008344,3,3
N0000008339,N0000008347,1,1
N0000008339,N0000008348,1,1
N0000008339,N0000008349,2,2
N0000008339,N0000008379,3,3
N0000008339,N0000008380,3,3
N0000008339,N0000008480,2,2
N0000008339,N0000008576,4,4
N0000008339,N0000008577,4,4
N0000008339,N0000008704,3,3
N0000008339,N0000008732,3,3
N0000008339,N0000008840,3,3
N0000008339,N0000008841,3,3
N0000008339,N0000008852,4,4
N0000008339,N0000008853,4,4
N0000008339,N0000008869,4,4
N0000008339,N0000009011,4,4
N0000008339,N0000009176,2,2
N0000008339,N0000009270,4,4
N0000008339,N0000009271,4,4
N0000008339,N0000009396,3,3
N0000008339,N0000009424,3,3
N0000008339,N0000009532,3,3
N0000008339,N0000009533,3,3
N0000008339,N0000009544,4,4
N0000008339,N0000009545,4,4
N0000008339,N0000009561,4,4
N0000008339,N0000009703,4,4
N0000008339,N0000009744,2,2
N0000008339,N0000009750,2,2
N0000008339,N0000009766,2,2
N0000008339,N0000009767,2,2
N0000008339,N0000009810,2,2
N0000008339,N0000009821,3,3
N0000008339,N0000009822,3,3
N0000008339,N0000009840,3,3
N0000008339,N0000009893,3,3
N0000008339,N0000009894,2,2
N0000008339,N0000020013,2,2
N0000008340,N0000008340,0,0
N0000008340,N0000008480,1,1
