concept_code,standard_concept,class_type
D002733,C,CHEM
D002734,C,CHEM
D002735,C,CHEM
D002739,C,CHEM
D002741,C,CHEM
D002743,C,CHEM
D002744,C,CHEM
D002746,C,CHEM
D002747,C,CHEM
D002749,C,CHEM
D002750,C,CHEM
D002751,C,CHEM
D002752,C,CHEM
D002753,C,CHEM
D002757,C,CHEM
D002762,C,CHEM
D002766,C,CHEM
D002774,C,CHEM
D002775,C,CHEM
D002776,C,CHEM
D002782,C,CHEM
D002784,C,CHEM
D002787,C,CHEM
D002788,C,CHEM
D002792,C,CHEM
D002793,C,CHEM
D002802,C,CHEM
D002807,C,CHEM
D002809,C,CHEM
D002810,C,CHEM
D002811,C,CHEM
D002839,C,CHEM
D002840,C,CHEM
D002857,C,CHEM
D002859,C,CHEM
D002860,C,CHEM
D002866,C,CHEM
D002867,C,CHEM
D002917,C,CHEM
D002918,C,CHEM
D002934,C,CHEM
D002936,C,CHEM
D002937,C,CHEM
D002939,C,CHEM
D002945,C,CHEM
D002951,C,CHEM
D002955,C,CHEM
D002956,C,CHEM
D002969,C,CHEM
D002974,C,CHEM
D002976,C,CHEM
D002981,C,CHEM
D002990,C,CHEM
D002991,C,CHEM
D002994,C,CHEM
D002995,C,CHEM
D002996,C,CHEM
D002998,C,CHEM
D003002,C,CHEM
D003005,C,CHEM
D003006,C,CHEM
D003007,C,CHEM
D003008,C,CHEM
D003009,C,CHEM
D003012,C,CHEM
D003022,C,CHEM
D003023,C,CHEM
D003024,C,CHEM
D003035,C,CHEM
D003038,C,CHEM
D003046,C,CHEM
D003060,C,CHEM
D003061,C,CHEM
D003065,C,CHEM
D003067,C,CHEM
D003070,C,CHEM
D003084,C,CHEM
D003091,C,CHEM
D003094,C,CHEM
D003101,C,CHEM
D003115,C,CHEM
D003165,C,CHEM
D003169,C,CHEM
D003174,C,CHEM
D003300,C,CHEM
D003314,C,CHEM
D003339,C,CHEM
D003346,C,CHEM
D003348,C,CHEM
D003350,C,CHEM
D003366,C,CHEM
D003369,C,CHEM
D003373,C,CHEM
D003401,C,CHEM
D003404,C,CHEM
D003407,C,CHEM
D003408,C,CHEM
D003435,C,CHEM
D003436,C,CHEM
D003437,C,CHEM
D003474,C,CHEM
D003484,C,CHEM
D003485,C,CHEM
D003486,C,CHEM
D003487,C,CHEM
D003493,C,CHEM
D003494,C,CHEM
D003495,C,CHEM
D003497,C,CHEM
D003501,C,CHEM
D003503,C,CHEM
D003505,C,CHEM
D003506,C,CHEM
D003508,C,CHEM
D003509,C,CHEM
D003512,C,CHEM
D003514,C,CHEM
D003517,C,CHEM
D003518,C,CHEM
D003519,C,CHEM
D003523,C,CHEM
D003533,C,CHEM
D003534,C,CHEM
D003538,C,CHEM
D003539,C,CHEM
D003543,C,CHEM
D003545,C,CHEM
D003546,C,CHEM
D003553,C,CHEM
D003561,C,CHEM
D003562,C,CHEM
D003565,C,CHEM
D003566,C,CHEM
D003583,C,CHEM
D003596,C,CHEM
D003597,C,CHEM
D003606,C,CHEM
D003609,C,CHEM
D003620,C,CHEM
D003622,C,CHEM
D003630,C,CHEM
D003642,C,CHEM
D003647,C,CHEM
D003650,C,CHEM
D003651,C,CHEM
D003652,C,CHEM
D003667,C,CHEM
D003671,C,CHEM
D003676,C,CHEM
D003684,C,CHEM
D003685,C,CHEM
D003687,C,CHEM
D003707,C,CHEM
D003708,C,CHEM
D003837,C,CHEM
D003839,C,CHEM
D003840,C,CHEM
D003841,C,CHEM
D003846,C,CHEM
D003847,C,CHEM
D003850,C,CHEM
D003851,C,CHEM
D003857,C,CHEM
D003868,C,CHEM
D003871,C,CHEM
D003892,C,CHEM
D003894,C,CHEM
D003898,C,CHEM
D003899,C,CHEM
D003900,C,CHEM
D003907,C,CHEM
D003908,C,CHEM
D003909,C,CHEM
D003911,C,CHEM
D003912,C,CHEM
D003913,C,CHEM
D003916,C,CHEM
D003918,C,CHEM
D003932,C,CHEM
D003959,C,CHEM
D003973,C,CHEM
D003974,C,CHEM
D003975,C,CHEM
D003981,C,CHEM
D003982,C,CHEM
D003987,C,CHEM
D003988,C,CHEM
D003992,C,CHEM
D003993,C,CHEM
D003999,C,CHEM
D004002,C,CHEM
D004003,C,CHEM
D004005,C,CHEM
D004009,C,CHEM
D004025,C,CHEM
D004028,C,CHEM
D004040,C,CHEM
D004041,C,CHEM
D004042,C,CHEM
D004048,C,CHEM
D004049,C,CHEM
D004053,C,CHEM
D004054,C,CHEM
D004060,C,CHEM
D004071,C,CHEM
D004074,C,CHEM
D004075,C,CHEM
D004077,C,CHEM
D004078,C,CHEM
D004088,C,CHEM
D004091,C,CHEM
D004096,C,CHEM
D004097,C,CHEM
D004098,C,CHEM
D004100,C,CHEM
D004103,C,CHEM
D004110,C,CHEM
D004111,C,CHEM
D004112,C,CHEM
D004113,C,CHEM
D004115,C,CHEM
D004121,C,CHEM
D004129,C,CHEM
D004131,C,CHEM
D004132,C,CHEM
D004134,C,CHEM
D004135,C,CHEM
D004143,C,CHEM
D004144,C,CHEM
D004145,C,CHEM
D004146,C,CHEM
D004147,C,CHEM
D004148,C,CHEM
D004149,C,CHEM
D004151,C,CHEM
D004152,C,CHEM
D004155,C,CHEM
D004157,C,CHEM
D004158,C,CHEM
D004159,C,CHEM
D004164,C,CHEM
D004166,C,CHEM
D004167,C,CHEM
D004168,C,CHEM
D004176,C,CHEM
D004177,C,CHEM
D004179,C,CHEM
D004187,C,CHEM
D004205,C,CHEM
D004224,C,CHEM
D004227,C,CHEM
D004268,C,CHEM
D004280,C,CHEM
D004281,C,CHEM
D004294,C,CHEM
D004295,C,CHEM
D004298,C,CHEM
D004308,C,CHEM
D004315,C,CHEM
D004317,C,CHEM
D004318,C,CHEM
D004319,C,CHEM
D004329,C,CHEM
D004365,C,CHEM
D004369,C,CHEM
D004394,C,CHEM
D004400,C,CHEM
D004419,C,CHEM
D004456,C,CHEM
D004464,C,CHEM
D004491,C,CHEM
D004492,C,CHEM
D004527,C,CHEM
D004533,C,CHEM
D004537,C,CHEM
D004546,C,CHEM
D004549,C,CHEM
D004610,C,CHEM
D004629,C,CHEM
D004640,C,CHEM
D004642,C,CHEM
D004656,C,CHEM
D004706,C,CHEM
D004731,C,CHEM
D004737,C,CHEM
D004763,C,CHEM
D004786,C,CHEM
D004792,C,CHEM
D004798,C,CHEM
D004801,C,CHEM
D004809,C,CHEM
D004815,C,CHEM
D004837,C,CHEM
D004852,C,CHEM
D004871,C,CHEM
D004872,C,CHEM
D004877,C,CHEM
D004880,C,CHEM
D004896,C,CHEM
D004897,C,CHEM
D004918,C,CHEM
D004921,C,CHEM
D004923,C,CHEM
D004928,C,CHEM
D004929,C,CHEM
D004949,C,CHEM
D004950,C,CHEM
D004952,C,CHEM
D004953,C,CHEM
D004958,C,CHEM
D004961,C,CHEM
D004962,C,CHEM
D004963,C,CHEM
D004964,C,CHEM
D004966,C,CHEM
D004970,C,CHEM
D004975,C,CHEM
D004976,C,CHEM
D004977,C,CHEM
D004979,C,CHEM
D004984,C,CHEM
D004986,C,CHEM
D004998,C,CHEM
D004999,C,CHEM
D005000,C,CHEM
D005003,C,CHEM
D005009,C,CHEM
D005011,C,CHEM
D005013,C,CHEM
D005015,C,CHEM
D005018,C,CHEM
D005019,C,CHEM
D005027,C,CHEM
D005029,C,CHEM
D005030,C,CHEM
D005032,C,CHEM
D005035,C,CHEM
D005036,C,CHEM
D005039,C,CHEM
D005040,C,CHEM
D005041,C,CHEM
D005045,C,CHEM
D005047,C,CHEM
D005050,C,CHEM
D005054,C,CHEM
D005063,C,CHEM
D005070,C,CHEM
D005098,C,CHEM
D005164,C,CHEM
D005167,C,CHEM
D005169,C,CHEM
D005170,C,CHEM
D005176,C,CHEM
D005182,C,CHEM
D005204,C,CHEM
D005228,C,CHEM
D005229,C,CHEM
D005259,C,CHEM
D005273,C,CHEM
D005275,C,CHEM
D005277,C,CHEM
D005280,C,CHEM
D005283,C,CHEM
D005290,C,CHEM
D005292,C,CHEM
D005295,C,CHEM
D005296,C,CHEM
D005340,C,CHEM
D005341,C,CHEM
D005346,C,CHEM
D005363,C,CHEM
D005395,C,CHEM
D005415,C,CHEM
D005419,C,CHEM
D005421,C,CHEM
D005422,C,CHEM
D005436,C,CHEM
D005437,C,CHEM
D005439,C,CHEM
D005442,C,CHEM
D005443,C,CHEM
D005444,C,CHEM
D005445,C,CHEM
D005446,C,CHEM
D005447,C,CHEM
D005448,C,CHEM
D005449,C,CHEM
D005452,C,CHEM
D005459,C,CHEM
D005461,C,CHEM
D005464,C,CHEM
D005465,C,CHEM
D005466,C,CHEM
D005467,C,CHEM
D005469,C,CHEM
D005472,C,CHEM
D005473,C,CHEM
D005474,C,CHEM
D005475,C,CHEM
D005476,C,CHEM
D005477,C,CHEM
D005478,C,CHEM
D005479,C,CHEM
D005484,C,CHEM
D005485,C,CHEM
D005486,C,CHEM
D005492,C,CHEM
D005503,C,CHEM
D005557,C,CHEM
D005561,C,CHEM
