concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
D000368,Subsumes,MEDRT,INDIRECT,236525
D000368,Subsumes,MEDRT,INDIRECT,3013
D000368,Subsumes,MEDRT,DIRECT,32613
D000368,Subsumes,MEDRT,DIRECT,660767
D000368,Subsumes,MEDRT,DIRECT,6782
D000374,Subsumes,MEDRT,DIRECT,8766
D000379,Subsumes,MEDRT,DIRECT,596
D000419,Subsumes,MEDRT,DIRECT,298869
D000435,Subsumes,MEDRT,DIRECT,66925
D000435,Subsumes,MEDRT,DIRECT,8702
D000472,Subsumes,MEDRT,DIRECT,56489
D000505,Subsumes,MEDRT,DIRECT,1651695
D000505,Subsumes,MEDRT,DIRECT,1926479
D000505,Subsumes,MEDRT,DIRECT,25025
D000505,Subsumes,MEDRT,DIRECT,314583
D000505,Subsumes,MEDRT,DIRECT,6984
D000532,Subsumes,MEDRT,DIRECT,167
D000532,Subsumes,MEDRT,DIRECT,91406
D000562,Subsumes,MEDRT,DIRECT,103866
D000562,Subsumes,MEDRT,DIRECT,10612
D000562,Subsumes,MEDRT,DIRECT,203119
D000562,Subsumes,MEDRT,DIRECT,20863
D000562,Subsumes,MEDRT,DIRECT,23203
D000562,Subsumes,MEDRT,DIRECT,2393
D000562,Subsumes,MEDRT,INDIRECT,3435
D000562,Subsumes,MEDRT,DIRECT,3820
D000562,Subsumes,MEDRT,DIRECT,451796
D000562,Subsumes,MEDRT,INDIRECT,6135
D000562,Subsumes,MEDRT,DIRECT,66912
D000562,Subsumes,MEDRT,DIRECT,67182
D000562,Subsumes,MEDRT,DIRECT,6922
D000562,Subsumes,MEDRT,DIRECT,7701
D000562,Subsumes,MEDRT,DIRECT,7934
D000562,Subsumes,MEDRT,DIRECT,82015
D000562,Subsumes,MEDRT,DIRECT,82047
D000568,Subsumes,MEDRT,DIRECT,1000112
D000568,Subsumes,MEDRT,DIRECT,1101886
D000568,Subsumes,MEDRT,DIRECT,12488
D000568,Subsumes,MEDRT,DIRECT,1298838
D000568,Subsumes,MEDRT,DIRECT,142426
D000568,Subsumes,MEDRT,DIRECT,1760
D000568,Subsumes,MEDRT,DIRECT,204193
D000568,Subsumes,MEDRT,DIRECT,204194
D000568,Subsumes,MEDRT,DIRECT,259409
D000568,Subsumes,MEDRT,DIRECT,31994
D000568,Subsumes,MEDRT,DIRECT,326374
D000568,Subsumes,MEDRT,DIRECT,5542
D000568,Subsumes,MEDRT,DIRECT,6384
D000568,Subsumes,MEDRT,DIRECT,6691
D000568,Subsumes,MEDRT,DIRECT,7515
D000568,Subsumes,MEDRT,DIRECT,8727
D000647,Subsumes,MEDRT,DIRECT,9601
D000647,Subsumes,MEDRT,DIRECT,9603
D000690,Subsumes,MEDRT,DIRECT,1921877
D000690,Subsumes,MEDRT,DIRECT,35623
D000724,Subsumes,MEDRT,DIRECT,2197593
D000724,Subsumes,MEDRT,DIRECT,430
D000724,Subsumes,MEDRT,DIRECT,6672
D000724,Subsumes,MEDRT,DIRECT,8984
D000724,Subsumes,MEDRT,DIRECT,8985
D000753,Subsumes,MEDRT,DIRECT,1251
D000756,Subsumes,MEDRT,DIRECT,1251
D000795,Subsumes,MEDRT,DIRECT,2054252
D000795,Subsumes,MEDRT,DIRECT,2054264
D000795,Subsumes,MEDRT,DIRECT,338817
D000798,Subsumes,MEDRT,INDIRECT,2567226
D000820,Subsumes,MEDRT,INDIRECT,10803
D000820,Subsumes,MEDRT,INDIRECT,11194
D000820,Subsumes,MEDRT,INDIRECT,1426875
D000820,Subsumes,MEDRT,INDIRECT,1426899
D000820,Subsumes,MEDRT,INDIRECT,203119
D000820,Subsumes,MEDRT,INDIRECT,203133
D000820,Subsumes,MEDRT,INDIRECT,20863
D000820,Subsumes,MEDRT,INDIRECT,2108659
D000820,Subsumes,MEDRT,INDIRECT,236327
D000820,Subsumes,MEDRT,INDIRECT,2393
D000820,Subsumes,MEDRT,INDIRECT,31819
D000820,Subsumes,MEDRT,INDIRECT,3820
D000820,Subsumes,MEDRT,INDIRECT,388472
D000820,Subsumes,MEDRT,INDIRECT,430
D000820,Subsumes,MEDRT,INDIRECT,451796
D000820,Subsumes,MEDRT,INDIRECT,4601
D000820,Subsumes,MEDRT,INDIRECT,66912
D000820,Subsumes,MEDRT,INDIRECT,7934
D000820,Subsumes,MEDRT,INDIRECT,7980
D000820,Subsumes,MEDRT,INDIRECT,7982
D000820,Subsumes,MEDRT,INDIRECT,7983
D000820,Subsumes,MEDRT,INDIRECT,82015
D000820,Subsumes,MEDRT,INDIRECT,9071
D000820,Subsumes,MEDRT,INDIRECT,9073
D000820,Subsumes,MEDRT,INDIRECT,9074
D000820,Subsumes,MEDRT,INDIRECT,9075
D000820,Subsumes,MEDRT,INDIRECT,9900
D000844,Subsumes,MEDRT,INDIRECT,10237
D000844,Subsumes,MEDRT,INDIRECT,10759
D000844,Subsumes,MEDRT,INDIRECT,10761
D000844,Subsumes,MEDRT,INDIRECT,10762
D000844,Subsumes,MEDRT,INDIRECT,1294612
D000844,Subsumes,MEDRT,INDIRECT,140587
D000844,Subsumes,MEDRT,INDIRECT,142442
D000844,Subsumes,MEDRT,INDIRECT,1429044
D000844,Subsumes,MEDRT,INDIRECT,155323
D000844,Subsumes,MEDRT,INDIRECT,1599788
D000844,Subsumes,MEDRT,INDIRECT,16689
D000844,Subsumes,MEDRT,INDIRECT,1790539
D000844,Subsumes,MEDRT,INDIRECT,191831
D000844,Subsumes,MEDRT,INDIRECT,1927283
D000844,Subsumes,MEDRT,INDIRECT,203189
D000844,Subsumes,MEDRT,INDIRECT,203214
D000844,Subsumes,MEDRT,INDIRECT,2103476
D000844,Subsumes,MEDRT,INDIRECT,2103477
