ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
D007502,D017262,1,1
D007641,D007641,0,0
D007783,D000068338,3,4
D007783,D007783,0,0
D007783,D018942,1,2
D007783,D020123,2,3
D007783,D061065,1,1
D007917,D007917,0,0
D008082,D008082,0,0
D008082,D058867,1,1
D008186,D008186,0,0
D008600,D008600,0,0
D008901,D008901,0,0
D008916,D008916,0,0
D008934,D008934,0,0
D008996,D008996,0,0
D009125,D009125,0,0
D009184,D009184,0,0
D009292,D009292,0,0
D009294,D000701,1,1
D009294,D009294,0,0
D009465,D003473,2,2
D009465,D009125,1,1
D009465,D009465,0,0
D009465,D009466,1,1
D009465,D009467,2,2
D009466,D003473,1,1
D009466,D009466,0,0
D009466,D009467,1,1
D009467,D009467,0,0
D009676,D000091362,4,4
D009676,D000477,1,1
D009676,D000922,1,1
D009676,D000924,3,3
D009676,D000960,2,2
D009676,D000963,1,1
D009676,D000964,2,2
D009676,D000988,1,1
D009676,D008082,3,3
D009676,D009676,0,0
D009676,D013078,2,2
D009676,D013089,2,2
D009676,D013092,2,2
D009676,D018906,2,2
D009676,D019161,4,4
D009676,D054872,3,3
D009676,D058867,4,4
D009696,D009696,0,0
D009696,D015341,1,1
D009696,D015342,2,2
D009696,D015343,3,3
D009696,D015344,3,3
D009696,D015345,2,2
D009696,D015347,2,2
D009706,D009696,1,1
D009706,D009706,0,0
D009706,D015341,2,2
D009706,D015342,3,3
D009706,D015343,4,4
D009706,D015344,4,4
D009706,D015345,3,3
D009706,D015347,3,3
D009883,D009883,0,0
D009883,D065346,1,1
D009930,D000068338,4,5
D009930,D007783,1,1
D009930,D009930,0,0
D009930,D018942,2,3
D009930,D020123,3,4
D009930,D061065,2,2
D010120,D010120,0,0
D010276,D010276,0,0
D010277,D010277,0,0
D010455,D000074162,2,2
D010455,D010455,0,0
D010455,D015843,1,1
D010455,D053491,1,1
D010575,D007302,1,1
D010575,D010575,0,0
D010592,D000075528,1,1
D010592,D000089582,2,2
D010592,D000277,1,1
D010592,D010592,0,0
D010726,D010726,0,0
D010726,D058986,1,1
D010726,D058987,1,1
D010726,D058988,1,1
D010937,D010937,0,0
D010952,D010952,0,0
D010975,D010975,0,0
D011083,D000068338,5,5
D011083,D011083,0,0
D011083,D018942,3,3
D011083,D020123,4,4
D011083,D047028,1,1
D011083,D061065,2,2
D011372,D011372,0,0
D011448,D011448,0,0
D011480,D000075563,2,2
D011480,D000084762,1,1
D011480,D000085683,2,2
D011480,D000088802,2,2
D011480,D000091362,2,2
D011480,D000806,1,1
D011480,D000991,2,2
D011480,D011480,0,0
D011480,D014361,2,2
D011480,D015842,1,1
D011480,D015853,1,1
D011480,D017320,2,2
D011480,D054873,1,1
D011480,D061945,2,2
D011480,D061965,1,1
D011480,D061988,1,1
D011480,D065427,3,3
D011500,D011500,0,0
D011506,D000074162,2,2
D011506,D000906,4,4
D011506,D000922,6,6
D011506,D001798,1,1
D011506,D005916,1,1
D011506,D007136,3,3
D011506,D007162,2,2
D011506,D011506,0,0
D011506,D012712,2,2
D011506,D015843,1,1
D011506,D018796,5,5
D011506,D053491,1,1
D011619,D000928,1,1
D011619,D000929,2,2
D011619,D006213,1,1
D011619,D011619,0,0
D011619,D014149,1,1
D011619,D014150,2,2
D011619,D014151,2,2
D011619,D018687,2,2
D011619,D018692,2,2
D011663,D011663,0,0
D011837,D011837,0,0
D011837,D013473,1,1
D011838,D011838,0,0
