classId1,rela,classId2
N0000008578,isa,N0000009024
N0000008806,isa,N0000008578
N0000009024,isa,N0000009027
N0000009027,isa,N0000009759
N0000009759,isa,N0000009770
N0000009770,isa,N0000009802
N0000008399,isa,N0000008807
N0000008588,isa,N0000009025
N0000008807,isa,N0000008588
N0000009025,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008400,isa,N0000008808
N0000008589,isa,N0000009026
N0000008808,isa,N0000008589
N0000009026,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008401,isa,N0000008809
N0000008597,isa,N0000009038
N0000008809,isa,N0000008597
N0000009038,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008402,isa,N0000008810
N0000008599,isa,N0000009041
N0000008810,isa,N0000008599
N0000009041,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008403,isa,N0000008811
N0000008623,isa,N0000009042
N0000008811,isa,N0000008623
N0000009042,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008404,isa,N0000008812
N0000008631,isa,N0000009053
N0000008812,isa,N0000008631
N0000009053,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008405,isa,N0000008813
N0000008642,isa,N0000009056
N0000008813,isa,N0000008642
N0000009056,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008406,isa,N0000008814
N0000008648,isa,N0000009062
N0000008814,isa,N0000008648
N0000009062,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008407,isa,N0000008815
N0000008649,isa,N0000009063
N0000008815,isa,N0000008649
N0000009063,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008408,isa,N0000008816
N0000008657,isa,N0000008660
N0000008657,isa,N0000009071
N0000008660,isa,N0000008663
N0000008663,isa,N0000009074
N0000008663,isa,N0000175550
N0000008816,isa,N0000008657
N0000009057,isa,N0000009802
N0000009071,isa,N0000009761
N0000009073,isa,N0000009057
N0000009074,isa,N0000009073
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000175550,isa,N0000009073
N0000008409,isa,N0000008817
N0000008761,isa,N0000009758
N0000008817,isa,N0000008761
N0000009758,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008410,isa,N0000008818
N0000008762,isa,N0000009760
N0000008818,isa,N0000008762
N0000009759,isa,N0000009770
N0000009760,isa,N0000009761
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008411,isa,N0000008819
N0000008763,isa,N0000009762
N0000008819,isa,N0000008763
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009762,isa,N0000009761
N0000009770,isa,N0000009802
N0000008412,isa,N0000008820
N0000008764,isa,N0000009765
N0000008820,isa,N0000008764
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009765,isa,N0000009761
N0000009770,isa,N0000009802
N0000008413,isa,N0000008821
N0000008768,isa,N0000009774
N0000008821,isa,N0000008768
N0000009027,isa,N0000009759
N0000009759,isa,N0000009770
N0000009770,isa,N0000009802
N0000009774,isa,N0000009027
N0000008414,isa,N0000008822
N0000008660,isa,N0000008663
N0000008663,isa,N0000009074
N0000008663,isa,N0000175550
N0000008822,isa,N0000008893
N0000008893,isa,N0000008660
N0000008893,isa,N0000009844
N0000009057,isa,N0000009802
N0000009073,isa,N0000009057
N0000009074,isa,N0000009073
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000009844,isa,N0000009761
N0000175550,isa,N0000009073
N0000008415,isa,N0000008823
N0000008823,isa,N0000008973
N0000008973,isa,N0000009880
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000009880,isa,N0000009761
N0000008416,isa,N0000008824
N0000008824,isa,N0000009015
N0000009015,isa,N0000009907
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000009907,isa,N0000009761
N0000008417,isa,N0000008698
N0000008655,isa,N0000009066
N0000008698,isa,N0000008655
N0000009065,isa,N0000009069
N0000009066,isa,N0000009067
N0000009067,isa,N0000009065
N0000009069,isa,N0000009770
N0000009770,isa,N0000009802
N0000008418,isa,N0000008699
N0000008656,isa,N0000009068
N0000008699,isa,N0000008656
N0000009065,isa,N0000009069
N0000009067,isa,N0000009065
N0000009068,isa,N0000009067
N0000009069,isa,N0000009770
N0000009770,isa,N0000009802
N0000008419,isa,N0000008635
N0000008635,isa,N0000009048
N0000009022,isa,N0000009770
N0000009048,isa,N0000009022
N0000009770,isa,N0000009802
N0000008305,isa,N0000009832
N0000008420,isa,N0000008305
N0000009770,isa,N0000009802
N0000009832,isa,N0000009770
N0000008306,isa,N0000009832
N0000008421,isa,N0000008306
N0000009770,isa,N0000009802
N0000009832,isa,N0000009770
N0000008422,isa,N0000008675
N0000008663,isa,N0000009074
N0000008663,isa,N0000175550
N0000008675,isa,N0000008663
N0000009057,isa,N0000009802
N0000009073,isa,N0000009057
N0000009074,isa,N0000009073
N0000175550,isa,N0000009073
N0000008423,isa,N0000008676
N0000008664,isa,N0000009075
N0000008664,isa,N0000175550
N0000008676,isa,N0000008664
N0000009057,isa,N0000009802
N0000009073,isa,N0000009057
N0000009075,isa,N0000009073
N0000175550,isa,N0000009073
N0000008424,isa,N0000008677
N0000008665,isa,N0000009076
N0000008665,isa,N0000175550
N0000008677,isa,N0000008665
N0000009057,isa,N0000009802
N0000009073,isa,N0000009057
N0000009076,isa,N0000009073
N0000175550,isa,N0000009073
N0000008315,isa,N0000009761
N0000008425,isa,N0000008315
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008290,isa,N0000009761
N0000008383,isa,N0000008290
N0000008426,isa,N0000008482
N0000008482,isa,N0000008383
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008300,isa,N0000009761
N0000008393,isa,N0000008300
N0000008427,isa,N0000008483
N0000008483,isa,N0000008393
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008315,isa,N0000009761
N0000008425,isa,N0000008315
N0000008428,isa,N0000008484
N0000008484,isa,N0000008425
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008323,isa,N0000009761
N0000008429,isa,N0000008485
N0000008449,isa,N0000008323
N0000008485,isa,N0000008449
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008430,isa,N0000008486
N0000008486,isa,N0000008578
N0000008578,isa,N0000009024
N0000009024,isa,N0000009027
N0000009027,isa,N0000009759
N0000009759,isa,N0000009770
N0000009770,isa,N0000009802
N0000008431,isa,N0000008487
N0000008487,isa,N0000008588
N0000008588,isa,N0000009025
N0000009025,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008432,isa,N0000008488
N0000008488,isa,N0000008589
N0000008589,isa,N0000009026
N0000009026,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008433,isa,N0000008489
N0000008489,isa,N0000008597
N0000008597,isa,N0000009038
N0000009038,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008434,isa,N0000008490
N0000008490,isa,N0000008599
N0000008599,isa,N0000009041
N0000009041,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008435,isa,N0000008491
N0000008491,isa,N0000008623
N0000008623,isa,N0000009042
N0000009042,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008436,isa,N0000008492
N0000008492,isa,N0000008631
N0000008631,isa,N0000009053
N0000009053,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008437,isa,N0000008493
N0000008493,isa,N0000008642
N0000008642,isa,N0000009056
N0000009056,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
