ancestor_concept_code,descendant_concept_code,level_of_separation
N0000009761,N0000009091,4
N0000009761,N0000009472,5
N0000008300,N0000009089,1
N0000008300,N0000009495,2
N0000008300,N0000009091,3
N0000008300,N0000009472,4
N0000009089,N0000009089,0
N0000009089,N0000009495,1
N0000009089,N0000009091,2
N0000009089,N0000009472,3
N0000009495,N0000009495,0
N0000009495,N0000009091,1
N0000009495,N0000009472,2
N0000009091,N0000009091,0
N0000009091,N0000009472,1
N0000009472,N0000009472,0
N0000009802,N0000009667,8
N0000009770,N0000009667,7
N0000009759,N0000009667,6
N0000009761,N0000009667,5
N0000008300,N0000009667,4
N0000009089,N0000009667,3
N0000009495,N0000009667,2
N0000009091,N0000009667,1
N0000009667,N0000009667,0
N0000009802,N0000009295,7
N0000009770,N0000009295,6
N0000009759,N0000009295,5
N0000009761,N0000009295,4
N0000008300,N0000009295,3
N0000009089,N0000009295,2
N0000009495,N0000009295,1
N0000009295,N0000009295,0
N0000009802,N0000009564,7
N0000009770,N0000009564,6
N0000009759,N0000009564,5
N0000009761,N0000009564,4
N0000008300,N0000009564,3
N0000009089,N0000009564,2
N0000009495,N0000009564,1
N0000009564,N0000009564,0
N0000009802,N0000009179,6
N0000009802,N0000009123,7
N0000009770,N0000009179,5
N0000009770,N0000009123,6
N0000009759,N0000009179,4
N0000009759,N0000009123,5
N0000009761,N0000009179,3
N0000009761,N0000009123,4
N0000008300,N0000009179,2
N0000008300,N0000009123,3
N0000009089,N0000009179,1
N0000009089,N0000009123,2
N0000009179,N0000009179,0
N0000009179,N0000009123,1
N0000009123,N0000009123,0
N0000009802,N0000009202,7
N0000009770,N0000009202,6
N0000009759,N0000009202,5
N0000009761,N0000009202,4
N0000008300,N0000009202,3
N0000009089,N0000009202,2
N0000009179,N0000009202,1
N0000009202,N0000009202,0
N0000009802,N0000009225,7
N0000009770,N0000009225,6
N0000009759,N0000009225,5
N0000009761,N0000009225,4
N0000008300,N0000009225,3
N0000009089,N0000009225,2
N0000009179,N0000009225,1
N0000009225,N0000009225,0
N0000009802,N0000009401,7
N0000009770,N0000009401,6
N0000009759,N0000009401,5
N0000009761,N0000009401,4
N0000008300,N0000009401,3
N0000009089,N0000009401,2
N0000009179,N0000009401,1
N0000009401,N0000009401,0
N0000009802,N0000009619,7
N0000009770,N0000009619,6
N0000009759,N0000009619,5
N0000009761,N0000009619,4
N0000008300,N0000009619,3
N0000009089,N0000009619,2
N0000009179,N0000009619,1
N0000009619,N0000009619,0
N0000009802,N0000009428,6
N0000009802,N0000009150,7
N0000009770,N0000009428,5
N0000009770,N0000009150,6
N0000009759,N0000009428,4
N0000009759,N0000009150,5
N0000009761,N0000009428,3
N0000009761,N0000009150,4
N0000008300,N0000009428,2
N0000008300,N0000009150,3
N0000009089,N0000009428,1
N0000009089,N0000009150,2
N0000009428,N0000009428,0
N0000009428,N0000009150,1
N0000009150,N0000009150,0
N0000009802,N0000009592,7
N0000009770,N0000009592,6
N0000009759,N0000009592,5
N0000009761,N0000009592,4
N0000008300,N0000009592,3
N0000009089,N0000009592,2
N0000009428,N0000009592,1
N0000009592,N0000009592,0
N0000009802,N0000009642,7
N0000009770,N0000009642,6
N0000009759,N0000009642,5
N0000009761,N0000009642,4
N0000008300,N0000009642,3
N0000009089,N0000009642,2
N0000009428,N0000009642,1
N0000009642,N0000009642,0
N0000009802,N0000008315,4
N0000009802,N0000008425,5
N0000009802,N0000008804,6
N0000009802,N0000008396,7
N0000009802,N0000008781,8
N0000009770,N0000008315,3
N0000009770,N0000008425,4
N0000009770,N0000008804,5
N0000009770,N0000008396,6
N0000009770,N0000008781,7
N0000009759,N0000008315,2
N0000009759,N0000008425,3
N0000009759,N0000008804,4
N0000009759,N0000008396,5
N0000009759,N0000008781,6
N0000009761,N0000008315,1
N0000009761,N0000008425,2
N0000009761,N0000008804,3
N0000009761,N0000008396,4
N0000009761,N0000008781,5
N0000008315,N0000008315,0
N0000008315,N0000008425,1
N0000008315,N0000008804,2
N0000008315,N0000008396,3
N0000008315,N0000008781,4
N0000008425,N0000008425,0
N0000008425,N0000008804,1
N0000008425,N0000008396,2
N0000008425,N0000008781,3
