concept_code_1,class_type_1,relationship_id,relationship_source,relationship_type,concept_code_2,class_type_2
3154,EPC,Mapped from,FDASPL,NA,3154,EPC
140108,EPC,Mapped from,FDASPL,NA,140108,EPC
325887,EPC,Mapped from,FDASPL,NA,325887,EPC
341018,EPC,Mapped from,FDASPL,NA,341018,EPC
22299,EPC,Mapped from,FDASPL,NA,22299,EPC
6572,EPC,Mapped from,FDASPL,NA,6572,EPC
2540,EPC,Mapped from,FDASPL,NA,2540,EPC
42372,EPC,Mapped from,FDASPL,NA,42372,EPC
167,EPC,Mapped from,FDASPL,NA,167,EPC
194881,EPC,Mapped from,FDASPL,NA,194881,EPC
3353,EPC,Mapped from,FDASPL,NA,3353,EPC
60207,EPC,Mapped from,FDASPL,NA,60207,EPC
114934,EPC,Mapped from,FDASPL,NA,114934,EPC
15202,EPC,Mapped from,FDASPL,NA,15202,EPC
1546207,EPC,Mapped from,FDASPL,NA,1546207,EPC
1546356,EPC,Mapped from,FDASPL,NA,1546356,EPC
60819,EPC,Mapped from,FDASPL,NA,60819,EPC
135391,EPC,Mapped from,FDASPL,NA,135391,EPC
39684,EPC,Mapped from,FDASPL,NA,39684,EPC
6146,EPC,Mapped from,FDASPL,NA,6146,EPC
120608,EPC,Mapped from,FDASPL,NA,120608,EPC
5880,EPC,Mapped from,FDASPL,NA,5880,EPC
612937,EPC,Mapped from,FDASPL,NA,612937,EPC
1546279,EPC,Mapped from,FDASPL,NA,1546279,EPC
260101,EPC,Mapped from,FDASPL,NA,260101,EPC
619693,EPC,Mapped from,FDASPL,NA,619693,EPC
69722,EPC,Mapped from,FDASPL,NA,69722,EPC
114979,EPC,Mapped from,FDASPL,NA,114979,EPC
17128,EPC,Mapped from,FDASPL,NA,17128,EPC
283742,EPC,Mapped from,FDASPL,NA,283742,EPC
40790,EPC,Mapped from,FDASPL,NA,40790,EPC
7646,EPC,Mapped from,FDASPL,NA,7646,EPC
816346,EPC,Mapped from,FDASPL,NA,816346,EPC
11055,EPC,Mapped from,FDASPL,NA,11055,EPC
1546264,EPC,Mapped from,FDASPL,NA,1546264,EPC
1300478,EPC,Mapped from,FDASPL,NA,1300478,EPC
486164,EPC,Mapped from,FDASPL,NA,486164,EPC
578350,EPC,Mapped from,FDASPL,NA,578350,EPC
1811461,EPC,Mapped from,FDASPL,NA,1811461,EPC
2048727,EPC,Mapped from,FDASPL,NA,2048727,EPC
27291,EPC,Mapped from,FDASPL,NA,27291,EPC
1726081,EPC,Mapped from,FDASPL,NA,1726081,EPC
25138,EPC,Mapped from,FDASPL,NA,25138,EPC
5775,EPC,Mapped from,FDASPL,NA,5775,EPC
10391,EPC,Mapped from,FDASPL,NA,10391,EPC
1815,EPC,Mapped from,FDASPL,NA,1815,EPC
20859,EPC,Mapped from,FDASPL,NA,20859,EPC
34905,EPC,Mapped from,FDASPL,NA,34905,EPC
35780,EPC,Mapped from,FDASPL,NA,35780,EPC
592464,EPC,Mapped from,FDASPL,NA,592464,EPC
6759,EPC,Mapped from,FDASPL,NA,6759,EPC
8686,EPC,Mapped from,FDASPL,NA,8686,EPC
118886,EPC,Mapped from,FDASPL,NA,118886,EPC
5882,EPC,Mapped from,FDASPL,NA,5882,EPC
620,EPC,Mapped from,FDASPL,NA,620,EPC
9386,EPC,Mapped from,FDASPL,NA,9386,EPC
134615,EPC,Mapped from,FDASPL,NA,134615,EPC
14845,EPC,Mapped from,FDASPL,NA,14845,EPC
1545996,EPC,Mapped from,FDASPL,NA,1545996,EPC
2599,EPC,Mapped from,FDASPL,NA,2599,EPC
3966,EPC,Mapped from,FDASPL,NA,3966,EPC
3992,EPC,Mapped from,FDASPL,NA,3992,EPC
40114,EPC,Mapped from,FDASPL,NA,40114,EPC
48937,EPC,Mapped from,FDASPL,NA,48937,EPC
5033,EPC,Mapped from,FDASPL,NA,5033,EPC
57258,EPC,Mapped from,FDASPL,NA,57258,EPC
6963,EPC,Mapped from,FDASPL,NA,6963,EPC
8163,EPC,Mapped from,FDASPL,NA,8163,EPC
8896,EPC,Mapped from,FDASPL,NA,8896,EPC
17300,EPC,Mapped from,FDASPL,NA,17300,EPC
20352,EPC,Mapped from,FDASPL,NA,20352,EPC
22298,EPC,Mapped from,FDASPL,NA,22298,EPC
37798,EPC,Mapped from,FDASPL,NA,37798,EPC
49276,EPC,Mapped from,FDASPL,NA,49276,EPC
720825,EPC,Mapped from,FDASPL,NA,720825,EPC
77492,EPC,Mapped from,FDASPL,NA,77492,EPC
8149,EPC,Mapped from,FDASPL,NA,8149,EPC
8153,EPC,Mapped from,FDASPL,NA,8153,EPC
8629,EPC,Mapped from,FDASPL,NA,8629,EPC
1300786,EPC,Mapped from,FDASPL,NA,1300786,EPC
1424884,EPC,Mapped from,FDASPL,NA,1424884,EPC
1546059,EPC,Mapped from,FDASPL,NA,1546059,EPC
237159,EPC,Mapped from,FDASPL,NA,237159,EPC
25255,EPC,Mapped from,FDASPL,NA,25255,EPC
304962,EPC,Mapped from,FDASPL,NA,304962,EPC
36117,EPC,Mapped from,FDASPL,NA,36117,EPC
3616,EPC,Mapped from,FDASPL,NA,3616,EPC
435,EPC,Mapped from,FDASPL,NA,435,EPC
6054,EPC,Mapped from,FDASPL,NA,6054,EPC
7688,EPC,Mapped from,FDASPL,NA,7688,EPC
1202,EPC,Mapped from,FDASPL,NA,1202,EPC
149,EPC,Mapped from,FDASPL,NA,149,EPC
1520,EPC,Mapped from,FDASPL,NA,1520,EPC
1546004,EPC,Mapped from,FDASPL,NA,1546004,EPC
